Corey Coleman,Cle,WR,148.47,125,124
Eric Decker,Ten,WR,147.54,127,100
Robert Woods,LAR,WR,147.38,128,184
Kenny Stills,Mia,WR,146.46,131,151
Delanie Walker,Ten,TE,145.5,132,92
Jordan Matthews,Buf,WR,143.11,136,121
Sterling Shepard,NYG,WR,142.73,137,157
Josh Doctson,Was,WR,139.99,139,160
LeGarrette Blount,Phi,RB,137.04,146,67
Shane Vereen,NYG,RB,136.98,147,204
Tyler Eifert,Cin,TE,136.82,149,82
Zach Ertz,Phi,TE,136.57,150,95
Samaje Perine,Was,RB,135.55,151,125
Theo Riddick,Det,RB,135.07,152,111
Corey Davis,Ten,WR,135.05,153,138
Julius Thomas,Mia,TE,135.03,154,144
Nelson Agholor,Phi,WR,133.13,157,155
Cole Beasley,Dal,WR,132.42,159,167
Curtis Samuel,Car,WR,132.34,160,231
Jack Doyle,Ind,TE,132.02,161,101
Kevin White,Chi,WR,131.47,164,179
Will Fuller V,Hou,WR,130.61,165,174
Ameer Abdullah,Det,RB,130.23,166,62
Allen Hurns,Jax,WR,129.76,167,164
Zay Jones,Buf,WR,128.76,170,143
Doug Martin,TB,RB,128.65,171,94
Jeremy Maclin,Bal,WR,127.49,172,88
Latavius Murray,Min,RB,120.25,173,183
J.J. Nelson,Ari,WR,126.88,174,199
Darren Sproles,Phi,RB,126.81,176,176
Adam Vinatieri,Ind,K,153.06,111,188
Matt Bryant,Atl,K,150.95,119,181
Ryan Succop,Ten,K,150.82,120,247
Chris Boswell,Pit,K,150.34,121,242
Mason Crosby,GB,K,148.46,126,166
Blair Walsh,Sea,K,147.35,129,245
Dan Bailey,Dal,K,146.84,130,168
Justin Tucker,Bal,K,145.29,133,154
Phil Dawson,Ari,K,144.48,134,240
Stephen Gostkowski,NE,K,145.41,135,156
Wil Lutz,NO,K,141.09,138,236
Aldrick Rosas,NYG,K,138.9,140,2606
Matt Prater,Det,K,138.22,141,218
Kai Forbath,Min,K,138.12,142,274
Sebastian Janikowski,Oak,K,137.44,143,197
Jake Elliott,Cin,K,137.17,144,2604
Graham Gano,Car,K,137.16,145,238
Brandon McManus,Den,K,136.95,148,219
Jason Myers,Jax,K,133.49,155,278
Dustin Hopkins,Was,K,133.26,156,251
Connor Barth,Chi,K,132.84,158,1940
Cairo Santos,KC,K,131.79,162,216
Caleb Sturgis,Phi,K,131.51,163,253
Josh Lambo,LAC,K,129.37,168,241
Stephen Hauschka,Buf,K,128.98,169,207
Kansas City,KC,DEF,93.05,245,141
Atlanta,Atl,DEF,92.65,246,227
Minnesota,Min,DEF,85.01,262,146
Tampa Bay,TB,DEF,80.73,271,270
Arizona,Ari,DEF,79.22,272,147
Carolina,Car,DEF,76.14,275,163
Oakland,Oak,DEF,74.74,278,200
Seattle,Sea,DEF,74.25,279,131
New England,NE,DEF,71.93,285,152
Buffalo,Buf,DEF,70.43,287,248
Pittsburgh,Pit,DEF,69.97,290,185
Denver,Den,DEF,66.86,299,127
Miami,Mia,DEF,64.73,303,257
Washington,Was,DEF,63.66,307,288
Cleveland,Cle,DEF,62.25,310,2559
Green Bay,GB,DEF,60.93,315,191
Philadelphia,Phi,DEF,57.86,320,244
Houston,Hou,DEF,57.24,323,130
New York,NYG,DEF,56.19,328,171
Los Angeles,LAC,DEF,54.64,334,256
Tennessee,Ten,DEF,54.39,335,221
Los Angeles,LAR,DEF,52.67,339,178
Cincinnati,Cin,DEF,49.79,346,214
Dallas,Dal,DEF,47.68,352,232
Baltimore,Bal,DEF,43.63,365,187
